username,latitude,longitude,noise_value,timestamp,tolerance_level,noise_category,region_category,aqi_value
Abhimanyu,22.491845,88.38282333,68.3,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.49186167,88.38279833,62,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.49184167,88.38278833,62,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.49185667,88.38278,63.7,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.49192833,88.38274167,63.7,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.49197333,88.38269333,61.7,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.49201,88.382675,63.3,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.49206167,88.382655,61.4,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.492135,88.38257833,57,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.492245,88.382485,67.9,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.49232333,88.382435,69.3,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.492335,88.38242,71.6,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.49233333,88.38236833,74.3,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.49239833,88.38226333,74.6,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.49243333,88.38219333,71.7,23-01-2018 02:21,Normal,Traffic,Street/Road,0
Abhimanyu,22.49242167,88.38219,69,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.49245333,88.38217,66,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.49253667,88.38209,66.2,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.49261167,88.38203667,62.6,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.49260333,88.38202833,60,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.49263167,88.38198667,62.1,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.492675,88.38189667,64.7,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.49275333,88.38182167,61.6,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.492785,88.38182167,67.6,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.4928,88.38179167,63.3,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.49283667,88.381735,63.5,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.49282667,88.381725,65.4,23-01-2018 02:22,Normal,Traffic,Street/Road,0
Abhimanyu,22.4928,88.38165333,62.5,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49278333,88.38151333,60.1,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49278833,88.38136,60.9,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49278833,88.38128667,64.3,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49280167,88.38130667,65.1,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49280833,88.381305,63.6,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49282,88.38121167,57.9,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49281833,88.38110667,62.5,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.492815,88.38108167,58.8,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49286833,88.38106667,54.1,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49285833,88.38099,52.7,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49288,88.38084667,55.3,23-01-2018 02:23,Normal,Traffic,Street/Road,0
Abhimanyu,22.49289667,88.38070333,54.6,23-01-2018 02:24,Normal,Traffic,Street/Road,0
Abhimanyu,22.49293833,88.38059167,53.9,23-01-2018 02:24,Normal,Traffic,Street/Road,0
